"TIME","Vent","Vout"
0.002028514643,-0.0184168,-0.00592741
0.002029524744,0.00237729,-0.00567449
0.002030534845,0.0238728,-0.00544132
0.002031544946,0.0451576,-0.00520932
0.002032555047,0.0653286,-0.00495983
0.002033565148,0.0835314,-0.00467497
0.002034575249,0.0989974,-0.00433838
0.00203558535,0.111078,-0.00393595
0.002036595451,0.119272,-0.00345646
0.002037605552,0.123249,-0.00289204
0.002038615653,0.122861,-0.00223853
0.002039625754,0.118152,-0.00149567
0.002040635855,0.109356,-0.000667098
0.002041645956,0.096883,0.000239809
0.002042656057,0.0813054,0.00121424
0.002043666158,0.0633307,0.00224242
0.002044676259,0.0437712,0.00330825
0.00204568636,0.0235083,0.00439396
0.002046696461,0.00345422,0.0054809
0.002047706562,-0.015488,0.00655037
0.002048716663,-0.0324639,0.00758443
0.002049726764,-0.0467053,0.00856667
0.002050736865,-0.0575632,0.00948294
0.002051746966,-0.0645368,0.0103219
0.002052757067,-0.067295,0.0110758
0.002053767168,-0.0656911,0.0117402
0.002054777269,-0.059769,0.012315
0.00205578737,-0.0497613,0.0128036
0.002056797471,-0.0360794,0.0132134
0.002057807572,-0.0192953,0.0135552
0.002058817673,-0.000116629,0.0138427
0.002059827774,0.0206444,0.0140919
0.002060837875,0.0421061,0.0143196
0.002061847976,0.0633564,0.0145473
0.002062858077,0.0834921,0.0147907
0.002063868178,0.101659,0.0150686
0.002064878279,0.117088,0.0153976
0.00206588838,0.129131,0.0157915
0.002066898481,0.137287,0.0162618
0.002067908582,0.141225,0.0168162
0.002068918683,0.140797,0.0174589
0.002069928784,0.136049,0.0181901
0.002070938885,0.127211,0.0190063
0.002071948986,0.114696,0.0199
0.002072959087,0.0990763,0.0208604
0.002073969188,0.0810584,0.0218738
0.002074979289,0.0614549,0.022924
0.00207598939,0.0411474,0.0239936
0.002076999491,0.0210479,0.0250631
0.002078009592,0.0020597,0.0261146
0.002079019693,-0.014963,0.0271299
0.002080029794,-0.0292519,0.0280926
0.002081039895,-0.040158,0.0289885
0.002082049997,-0.0471805,0.0298064
0.002083060098,-0.0499883,0.0305383
0.002084070199,-0.0484347,0.0311801
0.0020850803,-0.0425635,0.0317313
0.002086090401,-0.0326075,0.0321957
0.002087100502,-0.018978,0.0325804
0.002088110603,-0.00224696,0.0328964
0.002089120704,0.016878,0.0331573
0.002090130805,0.0375846,0.0333791
0.002091140906,0.0589913,0.0335782
0.002092151007,0.0801858,0.0337774
0.002093161108,0.100265,0.0339911
0.002094171209,0.118375,0.0342386
0.00209518131,0.133746,0.0345363
0.002096191411,0.145731,0.0348983
0.002097201512,0.153828,0.0353357
0.002098211613,0.157705,0.0358566
0.002099221714,0.157217,0.036465
0.002100231815,0.152407,0.0371611
0.002101241916,0.143508,0.0379415
0.002102252017,0.130931,0.0387986
0.002103262118,0.115248,0.0397217
0.002104272219,0.0971661,0.040697
0.00210528232,0.0774982,0.0417083
0.002106292421,0.0571256,0.0427379
0.002107302522,0.0369605,0.0437674
0.002108312623,0.0179059,0.0447777
0.002109322724,0.000816199,0.0457511
0.002110332825,-0.0135402,0.0466712
0.002111342926,-0.0245146,0.0475237
0.002112353027,-0.031606,0.0482974
0.002113363128,-0.0344833,0.0489844
0.002114373229,-0.0329998,0.0495805
0.00211538333,-0.0271994,0.0500853
0.002116393431,-0.0173148,0.0505025
0.002117403532,-0.00375727,0.0508394
0.002118413633,0.0129012,0.0511068
0.002119423734,0.031953,0.0513183
0.002120433835,0.0525857,0.0514901
0.002121443936,0.073918,0.051638
0.002122454037,0.0950374,0.051786
0.002123464138,0.115041,0.0519475
0.002124474239,0.133074,0.052142
0.00212548434,0.148369,0.0523861
0.002126494441,0.160276,0.0526936
0.002127504542,0.168295,0.053076
0.002128514643,0.172094,0.053541
0.002129524744,0.171527,0.0540929
0.002130534845,0.166638,0.0547318
0.002131544946,0.157658,0.0554542
0.002132555047,0.145,0.0562527
0.002133565148,0.129235,0.0571164
0.002134575249,0.111072,0.0580316
0.00213558535,0.0913213,0.0589822
0.002136595451,0.0708655,0.05995
0.002137605552,0.0506168,0.0609177
0.002138615653,0.031478,0.0618652
0.002139625754,0.0143035,0.062775
0.002140635855,-0.000138263,0.0636308
0.002141645956,-0.0111985,0.0644184
0.002142656057,-0.0183762,0.0651265
0.002143666158,-0.0213405,0.0657473
0.002144676259,-0.0199444,0.0662764
0.00214568636,-0.014232,0.0667136
0.002146696461,-0.00443585,0.0670625
0.002147706562,0.00903265,0.0673304
0.002148716663,0.0256016,0.0675281
0.002149726764,0.0445633,0.0676694
0.002150736865,0.0651055,0.0677702
0.002151746966,0.0863467,0.0678462
0.002152757067,0.107375,0.0679223
0.002153767168,0.127286,0.0680109
0.002154777269,0.145227,0.0681319
0.00215578737,0.160429,0.0683017
0.002156797471,0.172242,0.0685345
0.002157807572,0.180167,0.0688414
0.002158817673,0.183872,0.0692303
0.002159827774,0.18321,0.0697055
0.002160837875,0.178225,0.070267
0.002161847976,0.169149,0.0709115
0.002162858077,0.156395,0.0716313
0.002163868178,0.140534,0.0724158
0.002164878279,0.122273,0.0732512
0.00216588838,0.102424,0.0741214
0.002166898481,0.0818706,0.0750078
0.002167908582,0.0615232,0.0758941
0.002168918683,0.0422853,0.0767593
0.002169928784,0.0250114,0.0775863
0.002170938885,0.0104697,0.0783586
0.002171948986,-0.000690847,0.0790622
0.002172959087,-0.00796938,0.0796856
0.002173969188,-0.0110348,0.0802211
0.002174979289,-0.00974036,0.0806644
0.00217598939,-0.00412992,0.0810151
0.002176999491,0.0055638,0.0812771
0.002178009592,0.0189295,0.0814574
0.002179019693,0.0353952,0.081567
0.002180029794,0.0542533,0.0816195
0.002181039895,0.0746915,0.0816311
0.002182049997,0.0958283,0.081617
0.002183060098,0.116751,0.081603
0.002184070199,0.136558,0.0816006
0.0021850803,0.154393,0.0816302
0.002186090401,0.169489,0.081708
