"TIME","Vout"
0.0002256545431,-0.0678587
0.0002273212098,-0.0611247
0.0002289878764,-0.0518904
0.0002296755538,-0.0473969
0.0002300436494,-0.0448373
0.0002303927989,-0.0423154
0.000230678789,-0.0401839
0.0002309841675,-0.0378446
0.0002311996021,-0.0361556
0.0002313867788,-0.0346629
0.0002316035857,-0.0329055
0.000231720195,-0.0319481
0.0002318046694,-0.0312485
0.000231976008,-0.0298161
0.0002321558472,-0.0282942
0.0002325155256,-0.0251969
0.0002328950865,-0.021857
0.0002334672308,-0.0167023
0.0002339845778,-0.0119366
0.0002344166767,-0.00789467
0.0002347261725,-0.004972
0.0002348596417,-0.00370516
0.0002349912003,-0.00245289
0.0002350453161,-0.0019367
0.000235122498,-0.00119954
0.0002352062076,-0.000398994
0.0002353736269,0.00120455
0.000235541795,0.00281766
0.0002358781311,0.00604557
0.0002362544849,0.00965367
0.0002364604909,0.011625
0.0002366863863,0.0137816
0.0002370038279,0.0167986
0.0002373276515,0.0198548
0.0002378639237,0.024851
0.0002385070494,0.0307028
0.0002389643658,0.0347521
0.0002393389245,0.037988
0.0002396191463,0.0403562
0.0002399135647,0.0427908
0.0002402751533,0.0456993
0.0002407499675,0.0493697
0.0002415665283,0.0552395
0.0002424559324,0.0609239
0.0002430421573,0.0642332
0.0002435981665,0.0670254
0.0002442890349,0.0699928
0.0002447486634,0.0716461
0.0002451343768,0.0728286
0.0002453260288,0.0733455
0.000245498594,0.0737706
0.0002457029213,0.0742231
0.0002458402603,0.0744965
0.0002459939402,0.0747735
0.0002463012999,0.0752364
0.0002469160194,0.0758049
0.0002481454583,0.075577
0.0002498121249,0.0725625
0.0002514787916,0.0666966
0.0002531454583,0.0582618
0.0002540144489,0.0529174
0.0002545014805,0.0496564
0.0002547645428,0.0478191
0.0002550178237,0.0460019
0.0002552620729,0.0442059
0.0002555850926,0.0417667
0.0002558678401,0.0395731
0.0002560767867,0.0379177
0.0002562080618,0.0368632
0.0002563837961,0.0354346
0.0002565004023,0.0344759
0.0002566220079,0.0334663
0.0002567004545,0.0328104
0.0002568573478,0.0314881
0.0002571711343,0.0288027
0.0002575828231,0.0252037
0.0002580748758,0.0208025
0.000258523955,0.0167042
0.0002589403679,0.0128465
0.0002592228681,0.0102029
0.0002593546921,0.00896263
0.0002594860183,0.007723
0.0002596047638,0.00659859
0.0002596822693,0.00586318
0.0002598372804,0.00438959
0.0002599888216,0.00294601
