"TIME","Vout","Vent"
0.007689641696,-0.0735991,-0.144159
0.00769047503,-0.0739089,-0.161083
0.007691308363,-0.0742186,-0.175032
0.007692141696,-0.0745181,-0.185406
0.00769297503,-0.0748176,-0.191759
0.007693808363,-0.0751172,-0.193821
0.007694641696,-0.0754074,-0.191511
0.00769547503,-0.0756976,-0.184937
0.007696308363,-0.0759879,-0.174394
0.007697141696,-0.0762709,-0.160351
0.00769797503,-0.076554,-0.143429
0.007698808363,-0.0768371,-0.124375
0.007699641696,-0.0771144,-0.104029
0.00770047503,-0.0773918,-0.083287
0.007701308363,-0.0776691,-0.0630631
0.007702141696,-0.0779465,-0.044248
0.00770297503,-0.0782239,-0.0276708
0.007703808363,-0.0784969,-0.0140626
0.007704641696,-0.0787699,-0.00402501
0.00770547503,-0.0790429,0.00199698
0.007706308363,-0.0793159,0.00373377
0.007707141696,-0.0795889,0.00110319
0.00770797503,-0.0798569,-0.00578594
0.007708808363,-0.0801249,-0.0166386
0.007709641696,-0.0803929,-0.0309862
0.00771047503,-0.0806543,-0.0482077
0.007711308363,-0.0809157,-0.0675561
0.007712141696,-0.0811771,-0.0881912
0.00771297503,-0.0814294,-0.109217
0.007713808363,-0.0816817,-0.129719
0.007714641696,-0.081934,-0.148807
0.00771547503,-0.0821757,-0.165652
0.007716308363,-0.0824173,-0.179523
0.007717141696,-0.082659,-0.189818
0.00771797503,-0.0828899,-0.196092
0.007718808363,-0.0831208,-0.198075
0.007719641696,-0.0833517,-0.195686
0.00772047503,-0.0835733,-0.189032
0.007721308363,-0.0837949,-0.17841
0.007722141696,-0.0840165,-0.164288
0.00772297503,-0.0842302,-0.147286
0.007723808363,-0.084444,-0.128152
0.007724641696,-0.0846578,-0.107726
0.00772547503,-0.0848715,-0.0869046
0.007726308363,-0.0850794,-0.0666007
0.007727141696,-0.0852873,-0.0477055
0.00772797503,-0.0854952,-0.0310481
0.007728808363,-0.085703,-0.0173597
0.007729641696,-0.0859109,-0.0072417
0.00773047503,-0.0861139,-0.00113924
0.007731308363,-0.0863169,0.000678093
0.007732141696,-0.0865199,-0.00187186
0.00773297503,-0.0867228,-0.00868028
0.007733808363,-0.0869197,-0.0194521
0.007734641696,-0.0871166,-0.0337189
0.00773547503,-0.0873135,-0.0508595
0.007736308363,-0.0875024,-0.0701268
0.007737141696,-0.0876913,-0.0906808
0.00773797503,-0.0878802,-0.111625
0.007738808363,-0.0880588,-0.132046
0.007739641696,-0.0882374,-0.151053
0.00774047503,-0.088416,-0.167817
0.007741308363,-0.0885832,-0.181606
